def	GaussianField.circleRestrictionLM	SmoothCircle.Restriction	GaussianField.SmoothMap_Circle.instFunLike GaussianField.SmoothMap_Circle.instAddCommGroup GaussianField.SmoothMap_Circle.instModule GaussianField.SmoothMap_Circle GaussianField.circleSpacing GaussianField.circlePoint
thm	Pphi2.canonicalRoughFieldFunction_pointwise_measurable	Pphi2.NelsonEstimate.FieldDecomposition	GaussianField.FinLatticeSites Pphi2.canonicalRoughFieldFunction Pphi2.CanonicalJoint
thm	Pphi2.LatticeSetup.latticeRoughError_pure_quartic_summed	Pphi2.NelsonEstimate.LatticeSetup	Pphi2.smoothWickConstant GaussianField.finLatticeDelta GaussianField.FinLatticeSites Pphi2.LatticeSetup.latticeRoughError Pphi2.wickMonomial GaussianField.Configuration Pphi2.wickConstant Pphi2.LatticeSetup.wickPolynomial_pure_quartic_diff Pphi2.LatticeSetup.latticeRoughError_eq_sum_diff GaussianField.FinLatticeField Pphi2.wickPolynomial
thm	Pphi2.smoothVariance_le_log	Pphi2.NelsonEstimate.CovarianceSplit	Pphi2.smoothWickConstant GaussianField.FinLatticeSites GaussianField.latticeEigenvalue_pos Pphi2.wickConstant Pphi2.smoothCovEigenvalue Pphi2.wickConstant_le_inv_mass_sq GaussianField.latticeEigenvalue Lattice.toSemilatticeInf
axiom	Pphi2.nelson_exponential_estimate_master_bounded	Pphi2.NelsonEstimate.PolynomialChaosBridge	GaussianField.FinLatticeSites GaussianField.latticeGaussianMeasure GaussianField.Configuration GaussianField.instMeasurableSpaceConfiguration GaussianField.FinLatticeField Pphi2.interactionFunctional
def	GaussianField.NuclearTensorProduct.pure	Nuclear.NuclearTensorProduct	GaussianField.DyninMityaginSpace GaussianField.DyninMityaginSpace.coeff GaussianField.NuclearTensorProduct
thm	Pphi2.torusInteractingMeasure_exponentialMomentBound_cutoff	Pphi2.TorusContinuumLimit.TorusInteractingOS	Pphi2.torusEmbeddedTwoPoint_eq_lattice_second_moment GaussianField.NuclearTensorProduct.instModuleReal Pphi2.gaussian_exp_abs_moment Pphi2.partitionFunction_ge_one Lattice.toSemilatticeSup GaussianField.NuclearTensorProduct.instTopologicalSpace Pphi2.nelson_exponential_estimate Pphi2.torusEmbeddedTwoPoint Pphi2.interactionFunctional_bounded_below GaussianField.FinLatticeSites GaussianField.NuclearTensorProduct.instIsTopologicalAddGroup Pphi2.torusEmbedLift Pphi2.partitionFunction Pphi2.interactionFunctional_measurable Pphi2.torusEmbedLift_measurable Pphi2.interactingLatticeMeasure GaussianField.NuclearTensorProduct.instAddCommGroup GaussianField.latticeGaussianMeasure GaussianField.configuration_eval_measurable GaussianField.Configuration Pphi2.density_transfer_bound GaussianField.NuclearTensorProduct.instContinuousSMulReal GaussianField.SmoothMap_Circle GaussianField.circleSpacing GaussianField.instMeasurableSpaceConfiguration Pphi2.boltzmannWeight Pphi2.latticeTestFn Pphi2.torusEmbedLift_eval_eq Pphi2.torusInteractingMeasure GaussianField.FinLatticeField Pphi2.interactionFunctional GaussianField.TorusTestFunction Pphi2.partitionFunction_pos GaussianField.circleSpacing_pos Pphi2.boltzmannWeight_pos
thm	GaussianField.gaussianDensity_measurable	GaussianField.Density	GaussianField.FinLatticeSites GaussianField.massOperator GaussianField.gaussianDensity GaussianField.FinLatticeField
thm	GaussianField.SmoothMap_Circle.coe_mk	SmoothCircle.Basic	GaussianField.SmoothMap_Circle.instFunLike GaussianField.SmoothMap_Circle
thm	Pphi2.wickConstant_eq_gffPositionCovariance	Pphi2.InteractingMeasure.WickConstantBridge	GaussianField.covariance GaussianField.finLatticeDelta GaussianField.FinLatticeSites Pphi2.finLatticeDelta_eq_single GaussianField.latticeCovarianceGJ GaussianField.gffPositionCovariance Pphi2.wickConstant_eq_variance GaussianField.gffPositionCovariance_eq_covarianceGJ Pphi2.wickConstant GaussianField.ell2' GaussianField.FinLatticeField
thm	GaussianField.torusEmbedCLMGJ.congr_simp	Pphi2.TorusContinuumLimit.TorusEmbedding	GaussianField.NuclearTensorProduct.instModuleReal GaussianField.NuclearTensorProduct.instTopologicalSpace GaussianField.NuclearTensorProduct.instIsTopologicalAddGroup GaussianField.NuclearTensorProduct.instAddCommGroup GaussianField.Configuration GaussianField.NuclearTensorProduct.instContinuousSMulReal GaussianField.SmoothMap_Circle GaussianField.torusEmbedCLMGJ GaussianField.FinLatticeField GaussianField.TorusTestFunction
thm	Pphi2.integrable_powMul_wickMonomial	Pphi2.InteractingMeasure.MomentIntegrability	GaussianField.FinLatticeSites Pphi2.wickMonomial GaussianField.latticeGaussianMeasure GaussianField.Configuration GaussianField.instMeasurableSpaceConfiguration GaussianField.FinLatticeField
thm	GaussianField.DyninMityaginSpace.summable_coeff_seminorm_basis	Nuclear.NuclearSpace	GaussianField.DyninMityaginSpace GaussianField.DyninMityaginSpace.coeff GaussianField.DyninMityaginSpace.coeff_decay GaussianField.DyninMityaginSpace.ι GaussianField.DyninMityaginSpace.basis GaussianField.DyninMityaginSpace.basis_growth GaussianField.DyninMityaginSpace.p Lattice.toSemilatticeInf
thm	GaussianField.resolventMultiplierCLM_comp_inverseResolventMultiplierCLM	Cylinder.FourierMultiplier	GaussianField.realFourierMultiplierCLM.congr_simp GaussianField.inverseResolventSymbol_hasTemperateGrowth GaussianField.inverseResolventSymbol_even GaussianField.inverseResolventSymbol GaussianField.resolventSymbol_hasTemperateGrowth GaussianField.realFourierMultiplierCLM GaussianField.resolventMultiplierCLM GaussianField.realFourierMultiplierCLM_comp GaussianField.resolventSymbol GaussianField.inverseResolventMultiplierCLM GaussianField.realFourierMultiplierCLM_one GaussianField.resolventSymbol_mul_inverse
thm	GaussianField.abs_max_neg_le	Lattice.FKG	Lattice.toSemilatticeInf
def	GaussianField.derivSCCLM	SmoothCircle.Laplacian	GaussianField.SmoothMap_Circle.instAddCommGroup GaussianField.derivSC_continuous GaussianField.SmoothMap_Circle.instModule GaussianField.SmoothMap_Circle GaussianField.derivSCLM GaussianField.SmoothMap_Circle.instTopologicalSpace
thm	Pphi2.heat_kernel_1d_bound	Pphi2.NelsonEstimate.HeatKernelBound	Lattice.toSemilatticeInf
thm	Pphi2.asymCanonicalSumFieldFunction.congr_simp	Pphi2.NelsonEstimate.AsymFieldDecomposition	GaussianField.AsymLatticeSites Pphi2.AsymCanonicalJoint Pphi2.asymCanonicalSumFieldFunction
thm	Pphi2.integrable_sq_real_sum_of_pairwise	Pphi2.NelsonEstimate.RoughErrorBound	Pphi2.integrable_sum_mul_sum_of_pairwise
